domain_name,label,language,malicious_tags,all_tags,word_count,domain_length,posts,profile,visit,skip,report,blog,content,search,powered,well,use,link,contact,business,email,everything,new,home,page,create,website,services,free,data,facebook,account,designed,things,outdated,insecure,policy,service,support,help,privacy,learn,information,management,time,health,events,view,news,best,find,online,read,standard,school
portal.ife.ugo.aero,0,en,4,28,86,19,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pressbooks.pub,0,en,4,136,120,14,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arcs-praha-ds.cz2.quickconnect.to,0,en,1,59,277,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,0,4,0,1,1,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
blue-mail-email-exchange.apk.cafe,0,en,2,2962,4776,33,0,0,0,0,1,0,0,0,0,0,1,0,1,2,27,0,86,3,0,16,0,2,5,2,1,1,1,0,0,0,1,2,1,0,1,2,1,1,15,4,4,4,4,2,2,1,0,0,0
aca2023.iit.sggw.pl,0,en,12,480,325,19,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
pvt.jo,0,en,9,1251,2008,6,0,1,6,0,0,0,0,0,0,5,1,0,2,2,0,0,1,1,0,1,0,1,0,0,0,4,2,0,0,0,1,1,0,0,1,0,1,0,8,0,0,2,0,10,0,1,2,0,0
atimservernew.quickconnect.to,0,en,1,59,277,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,0,4,0,1,1,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
rblx.land,0,en,1,131,169,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,0,5,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rbnk.ge,0,en,11,546,453,7,0,0,0,1,4,3,0,0,0,0,2,5,2,1,0,0,2,0,0,5,0,5,2,0,0,1,0,0,0,0,6,2,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0
idp.nitjsr.ac.in,0,en,6,131,201,16,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
printerface.uniprint.uwa.edu.au,0,en,11,73,53,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pvt.sexy,0,en,22,1126,1210,8,0,0,0,0,2,1,0,0,0,0,6,1,1,0,5,0,8,0,0,6,2,0,3,0,0,11,0,0,0,0,7,1,9,2,5,0,0,0,3,0,0,1,1,1,2,1,0,0,0
poczta.uz.zgora.pl,0,en,10,64,121,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pesapuuperekeskus.smai.ly,0,en,2,83,156,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ixqrzl.stripocdn.email,0,en,1,136,68,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
auditb.cz2.quickconnect.to,0,en,1,59,277,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,0,4,0,1,1,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
projectsegfau.lt,0,en,1,98,50,16,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
projects.iem.sh,0,en,21,138,177,15,0,0,0,0,0,0,0,0,0,0,3,0,2,0,3,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
proceedings.mlr.press,0,en,2,1148,2213,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,3,0,0,0
pianistfrias.sellfy.store,0,en,42,857,217,25,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python-patterns.guide,0,en,1,223,437,21,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
prod-api.medistore.com.pl,0,en,2,1298,1093,25,0,0,1,0,1,0,0,3,0,1,0,0,2,0,0,0,0,1,0,0,0,3,0,1,0,2,0,0,0,0,5,1,3,3,3,10,2,0,2,11,0,0,0,1,11,2,0,0,0
process.innovation.ox.ac.uk,0,en,8,72,148,27,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0
prod.ally.ac,0,en,8,173,249,12,0,0,0,0,4,0,9,0,0,0,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0
poetrysociety.org.uk,0,en,17,394,1599,20,0,0,0,2,0,0,2,2,0,1,1,0,1,0,0,0,5,1,0,0,2,2,5,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,2,5,1,0,10,1,0,0
rcin.org.pl,0,en,34,3637,2751,11,0,0,0,4,0,0,6,47,0,0,1,0,4,0,0,0,2,0,4,0,2,0,0,5,0,1,0,0,0,0,4,2,0,0,2,0,6,0,0,0,0,1,1,0,0,0,0,0,0
refactoring.guru,0,en,5,633,702,16,0,0,0,0,0,0,3,0,0,0,0,0,3,0,5,1,1,1,1,0,1,0,0,5,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
pivotalmotion.physio,0,en,51,1937,1026,20,1,0,0,0,0,3,0,6,0,0,1,0,3,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,19,0,3,0,7,0,0,1,1,1,6,0,0,0
prod-ap-southeast-2.ally.ac,0,en,8,173,249,27,0,0,0,0,4,0,9,0,0,0,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0
portenvironmentcentre.org.au,0,en,9,629,605,28,0,0,2,1,0,1,1,2,0,0,0,1,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,4,1,0,2,0,6,0,0,0,1,0,0,0,1
prod-eu-central-1.ally.ac,0,en,8,173,249,25,0,0,0,0,4,0,9,0,0,0,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0
acpdrive.cz1.quickconnect.to,0,en,1,59,277,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,0,4,0,1,1,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
ref.ac.uk,0,en,7,249,502,9,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,8,0,0,1,1,0,0
releases.hyper.is,0,en,0,73,57,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r.emails.notice.studio,0,en,1,24,147,22,0,0,0,0,1,0,1,0,0,1,1,0,2,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
pros.lol,0,en,239,1732,443,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
polygon.technology,0,en,8,2096,1592,18,0,0,0,0,0,3,0,0,2,0,8,0,3,0,0,2,1,2,0,2,0,0,0,2,0,0,0,0,0,0,2,0,10,4,5,26,0,0,1,0,8,1,1,0,6,0,0,0,0
reliefweb.int,0,en,5,819,793,13,1,0,0,1,1,3,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,4,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0
pixel.briefly.co.za,0,en,7,1272,1609,19,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,2,0,2,0,0,0,2,1,0,1,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,4,3,0,1,13,0,2
quantumtech.blog,0,en,17,486,732,16,2,0,2,1,1,3,2,0,0,0,2,0,0,0,1,0,6,0,0,2,2,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,1,0,5,0,0,1,0,0,1,0,1,0,0
pixel.legit.ng,0,en,7,1482,1925,14,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,9,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,1,0,1,0,0,0,18,0,0,3,15,0,3
relentless-hustler-2774.ck.page,0,en,3,149,272,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
routes.tips,0,en,3,181,386,11,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,0,0,0
remodelaholic.ck.page,0,en,3,76,54,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
posh.mk,0,en,17,371,295,7,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
postcourier.com.pg,0,en,19,622,1267,18,0,0,0,1,0,0,1,5,1,0,0,0,2,3,1,0,14,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,8,0,0,0,1,0,2
pixel.tuko.co.ke,0,en,7,1346,1630,16,0,2,1,0,0,0,0,0,0,0,0,0,1,5,0,1,1,5,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,2,1,0,1,0,1,0,0,0,6,2,0,1,13,0,3
rpc.ftm.tools,0,en,2,321,193,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
quiver.trade,0,en,2,340,363,12,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1,2,0,0,2,0,0
rpg-de2.mo.ee,0,en,137,1011,873,13,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,1,0,0,18,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0
pixel.yen.com.gh,0,en,7,1263,1558,16,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,1,0,1,0,0,0,6,1,0,0,14,0,2
redkite.com.sg,0,en,9,463,308,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,2,0,0,0,1,0,14,0,0,0,0,0,0,0,0
rpg-de4.mo.ee,0,en,137,1011,873,13,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,1,0,0,18,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0
rpg-de3.mo.ee,0,en,137,1011,873,13,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,1,0,0,18,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0
pixers.hk,0,en,8,2323,1566,9,0,1,0,0,0,0,1,0,0,2,7,0,1,1,0,0,10,3,0,0,2,2,1,4,0,0,0,0,0,0,4,4,0,0,2,1,4,0,1,0,0,0,0,0,1,0,0,0,0
repo.codeit.guru,0,en,0,29,79,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pixers.net.au,0,en,8,2179,1476,13,0,1,0,0,0,0,1,0,0,2,7,0,1,1,0,6,8,0,0,0,2,2,1,4,0,0,0,0,0,0,4,5,0,0,2,1,4,0,1,0,0,0,0,0,1,0,0,0,0
rent.albar.co.il,0,en,33,1139,1783,16,0,0,0,0,0,0,0,3,0,1,1,0,5,1,2,0,1,1,1,0,0,2,5,1,1,1,0,0,0,0,1,3,0,0,2,0,2,0,4,0,0,0,0,0,1,0,0,0,0
popcat.games,0,en,6,329,543,12,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
pixers.uk,0,en,8,2398,1657,9,0,1,0,0,0,0,1,0,0,2,7,0,1,1,0,5,10,5,0,0,2,2,1,4,0,0,0,0,0,0,4,5,0,0,2,1,4,0,1,0,0,0,0,0,1,0,0,0,0
repo.iut.ac.ir,0,en,1,214,456,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0
prodogsdirect.org.uk,0,en,10,257,267,20,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
rpg-de.mo.ee,0,en,137,1011,873,12,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,1,0,0,18,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0
popular.pics,0,en,2,1033,1064,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
rpg-us2.mo.ee,0,en,137,1011,873,13,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,1,0,0,18,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0
rpg-us3.mo.ee,0,en,137,1011,873,13,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,1,0,0,18,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0
retropie.org.uk,0,en,11,495,606,15,0,0,0,2,0,0,2,2,1,1,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0
revelry.tours,0,en,3,705,1081,13,0,0,2,0,0,4,0,0,0,1,0,0,3,0,2,0,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,8,0,0,1,1,9,0,1,0,0,0
retail.onlinesbi.sbi,0,en,9,479,809,20,0,0,0,0,0,0,1,0,0,0,1,3,1,4,0,0,10,1,2,0,2,5,0,1,1,11,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,1,0,1,0,5,1,0,0
revenue.games,0,en,7,181,291,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0
reaction.life,0,en,42,125,68,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
rozee.pk,0,en,31,3061,4196,8,0,1,0,0,1,0,1,6,0,0,0,0,4,12,2,0,2,0,0,1,1,23,4,5,0,2,0,0,0,0,3,7,5,0,2,0,5,12,1,6,0,7,0,0,1,1,0,0,1
rab.equipment,0,en,12,2788,1313,13,0,0,0,4,0,0,1,1,0,0,3,0,1,0,2,0,4,0,0,1,0,0,2,0,1,2,0,0,0,0,2,5,0,5,1,0,1,0,1,0,0,0,1,1,4,0,0,0,0
read.alia.org.au,0,en,1,124,140,16,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,7,0,0,0,0,0,0,0,2,1,0,0,0
s2t2.home.blog,0,en,95,3115,9501,14,4,0,0,1,0,0,2,2,0,0,5,24,1,0,17,0,48,2,1,0,1,0,0,1,11,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,13,0,0,3,0
readcomiconline.li,0,en,6,1086,1050,18,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
reviews.gift,0,en,11,277,341,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
racodw.stripocdn.email,0,en,1,136,68,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pornfree.xxx,0,en,3,593,400,12,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
porngifs.xxx,0,en,4,720,1278,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,1
rewind.lol,0,en,5,109,97,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reykunyu.lu,0,en,3,221,405,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
radiology.expert,0,en,10,422,886,16,0,0,0,0,0,0,0,6,0,0,4,0,2,0,0,1,4,2,0,1,2,0,4,0,0,5,0,0,0,0,1,0,1,1,1,8,0,1,3,0,0,4,0,2,0,0,0,1,3
read.report,0,en,6,160,542,11,0,0,1,0,0,0,0,2,0,1,2,0,4,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,3,0,2,1,0,0,0,4,3,0,2,0,0
scamdemic.wtf,0,en,0,64,511,13,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
repository.jisc.ac.uk,0,en,10,107,87,21,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
radio.gov.pk,0,en,14,695,643,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,5,0,1,0,0,0,0
scaleup.agency,0,en,0,3599,2654,14,0,0,0,0,0,0,0,0,0,6,1,0,3,13,0,0,6,2,2,2,0,9,0,4,0,0,0,0,0,0,2,0,4,1,1,0,0,14,4,2,1,0,0,3,2,0,0,0,0
proxy.unipi.technology,0,en,6,414,895,22,0,24,0,0,0,0,0,1,0,0,4,0,1,0,0,0,2,0,2,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0
rsc.li,0,en,22,411,512,6,0,0,0,1,3,0,1,3,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,4,0,1,1,1,0,0,0,0,0,3,0,3,1,1,0,2,0,0
rs500.international,0,en,4,197,467,19,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0
pkg.covet.pics,0,en,0,118,513,14,0,0,0,0,0,0,1,0,1,1,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
pju.si,0,en,3,295,649,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0
pl.allsportsflix.best,0,en,10,209,210,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pk.sapphireonline.pk,0,en,47,1955,854,20,0,0,0,2,0,0,2,1,0,0,0,0,5,0,1,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
plati.market,0,en,43,659,564,12,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,5,1,1,0,1,0,3,0,0,0,0,0,0,1,1,0,1,0,0
rail.ninja,0,en,4,10028,7789,10,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,16,0,0,0,1,1,1,0,0,0,0,0,0,0,1,6,9,2,1,0,0,0,0,0,0,0,0,2,0,7,1,0,0
plausible.paimon.moe,0,en,1,47,55,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rain.webcomic.ws,0,en,43,487,1328,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0
rgm.press,0,en,30,1860,1517,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45,2,1,0,4,0,0
raisingchildren.net.au,0,en,6,315,175,22,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,2
prague2022.icom.museum,0,en,14,531,1048,22,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,1,0,3,0,1,0,3,2,9,0,0
sesame.ninja,0,en,0,108,618,12,0,0,0,0,0,0,0,12,0,0,3,0,1,0,2,1,0,0,0,1,0,0,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
safebrowsing.cryptobrowser.today,0,en,23,1205,2638,32,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,0,18,0,0,3,1,0,10,0,0,1,0,0,0,0,3,4,1,0,1,11,0,4,2,0,0,3,2,0,0,0,0,0,0
prague.foreignaffairs.gov.ng,0,en,4,507,578,28,0,0,3,0,0,0,0,0,0,0,0,0,3,6,1,0,1,2,0,0,0,3,1,0,0,0,0,0,0,0,1,5,0,0,1,0,1,0,0,0,0,0,5,0,1,0,5,0,0
psd.zone,0,en,16,587,807,8,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
repository.usta.edu.co,0,en,5,612,942,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
securities.cib.bnpparibas,0,en,8,943,710,25,0,0,0,0,2,0,1,2,0,0,0,0,2,1,0,0,2,0,0,0,0,17,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4,1,0,1,0,4,0,0
prague.mfa.gov.gh,0,en,16,346,422,17,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,3,0,0,2,3,0,0
reallaw.nz,0,en,15,382,1160,10,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,5,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,8,2,0,0,1,3,0,0,0,0,1,3,0,0,0,0
scholarhub.ui.ac.id,0,en,7,174,239,19,0,0,1,1,0,0,1,5,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
sede.seg-social.gob.es,0,en,88,1068,934,22,0,0,0,0,4,0,11,1,0,0,0,0,0,0,0,0,5,1,1,0,2,4,0,4,0,0,0,0,0,0,2,3,0,4,0,0,6,1,1,3,0,0,0,0,2,0,0,0,0
raku.land,0,en,3,351,276,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seedify.fund,0,en,5,439,428,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,1,2,0,0,0,0,0,0,0,2,1,0,3,0,0
